,Axis1,Axis2,Axis3
463,1.80175782,1.10107422,1.58715821
464,1.78051758,1.05932618,1.69677735
465,1.74609375,1.02392579,1.72924805
466,1.75122071,1.04467774,1.69580079
467,1.77172852,1.06079102,1.70214844
468,1.77148438,1.06225586,-1.76953125
469,1.7788085999999999,1.06372071,1.6850585999999999
470,1.78222657,1.05981446,1.69824219
471,1.77368165,1.06079102,1.70874024
472,1.74804688,1.05200196,1.69726563
473,1.7697754,1.05273438,1.69897461
474,1.7644043000000003,1.06811524,1.70507813
475,1.7697754,1.06567383,1.70483399
476,1.7631835999999999,1.05957032,-1.76855469
477,1.76098633,1.05761719,1.70434571
478,1.76293946,1.05957032,1.70239258
479,1.75952149,1.05664063,1.70825196
480,1.7565918000000003,1.05615235,1.7150879
481,1.76025391,1.05957032,1.70825196
482,1.75561524,1.05908204,1.70410157
483,1.76220704,1.05541993,1.70825196
484,1.76171875,1.05810547,1.7084960999999999
485,1.76049805,1.0534668,1.71044922
486,1.8347168000000003,1.05810547,1.71411133
487,1.83520508,1.05126954,1.72729493
488,1.82495118,1.03515625,1.7241210999999999
489,1.82128907,1.03515625,1.72558594
490,1.82958985,1.04101563,1.72875977
491,1.83984375,1.0444335999999999,1.72363282
492,1.82983399,1.04541016,1.72558594
493,1.8322754,1.04150391,1.72485352
494,-1.76074219,1.05126954,1.72460938
495,1.85595704,1.0546875,1.71289063
496,1.82202149,1.02661133,1.72558594
497,1.81933594,1.03808594,1.72119141
498,1.80395508,1.02416993,1.74462891
499,1.81689454,1.03466797,1.74365235
500,1.75952149,1.05664063,1.70825196
501,1.7565918000000003,1.05615235,1.7150879
502,1.76025391,1.05957032,1.70825196
503,1.75561524,1.05908204,1.70410157
504,1.76220704,1.05541993,1.70825196
505,1.76171875,1.05810547,1.7084960999999999
506,1.76049805,1.0534668,1.71044922
507,1.8347168000000003,1.05810547,1.71411133
508,1.83520508,1.05126954,1.72729493
509,1.82495118,1.03515625,1.7241210999999999
510,1.82128907,1.03515625,1.72558594
511,1.82958985,1.04101563,1.72875977
512,1.83984375,1.0444335999999999,1.72363282
513,1.82983399,1.04541016,1.72558594
514,1.8322754,1.04150391,1.72485352
515,-1.76074219,1.05126954,1.72460938
516,1.85595704,1.0546875,1.71289063
517,1.82202149,1.02661133,1.72558594
518,1.81933594,1.03808594,1.72119141
519,1.80395508,1.02416993,1.74462891
520,1.81689454,1.03466797,1.74365235
521,1.82495118,1.03881836,1.73657227
522,1.82397461,1.04833985,-1.76586915
523,1.83911133,1.04516602,1.72949219
524,1.8178710999999999,1.04101563,-1.76660157
525,1.8178710999999999,1.03564454,1.73413086
526,1.81835938,1.04174805,1.7385254
527,1.82177735,1.0366210999999999,1.73364258
528,1.83251954,1.04370118,1.74267579
529,1.81616211,1.03955079,1.72875977
530,1.82250977,1.04028321,1.7385254
531,1.82299805,1.0510253999999999,1.74072266
532,1.83081055,1.02075196,1.7475585999999999
533,1.79638672,1.07275391,1.71533204
534,1.79248047,0.99243165,1.80737305
535,1.82788086,0.98730469,1.79125977
536,1.75122071,1.00439454,1.88403321
537,1.47509766,0.85668946,1.96606446
538,1.8100585999999999,0.38256836,-1.23632813
539,1.79785157,1.28076172,1.7956543000000003
540,1.79199219,1.04248047,1.77807618
541,1.84472657,1.14233399,1.82739258
542,1.4584961,0.99975586,1.93945313
543,1.4494628999999999,1.05688477,1.72045899
544,1.50341797,1.27392579,-1.7932129
