,Axis1,Axis2,Axis3
274,-1.78564454,0.71386719,1.22045899
275,-1.90161133,1.82299805,-0.88598633
276,-6.104e-05,0.43994141,0.5612793
277,0.90893555,1.50976563,1.60791016
278,0.54345704,1.60302735,-1.76367188
279,0.81542969,-1.28344727,-1.69213868
280,0.36547852,-1.875,1.40307618
281,-1.98681641,0.17138672,-1.99584961
282,1.71386719,0.80737305,1.91235352
283,1.70434571,1.15869141,1.81738282
284,1.69750977,1.08642579,1.72119141
285,1.68066407,-1.80859375,1.8671875
286,1.66894532,1.05175782,1.84326172
287,1.68457032,1.07202149,1.79980469
288,1.68359375,1.07226563,1.78491211
289,1.6928711,1.06079102,1.81835938
290,1.64038086,1.05761719,-1.76293946
291,1.65112305,1.0546875,1.77929688
292,1.66137696,1.04833985,1.79174805
293,1.63745118,-1.83666993,1.80688477
294,-1.40209961,1.63842774,1.78637696
295,1.99169922,-1.875,-1.91577149
296,-1.01660157,1.69970704,-1.92407227
297,-0.93066407,-1.875,-1.25292969
298,-1.58764649,0.91137696,1.57226563
299,1.59960938,0.96557618,1.9897461
300,-1.76879883,1.22094727,1.81762696
301,1.63891602,1.05957032,-1.76245118
302,1.63916016,1.03735352,1.88134766
303,1.61450196,-1.80688477,1.80200196
304,1.58886719,1.06738282,1.81982422
305,1.5847168,1.10424805,1.81591797
306,1.61621094,1.0666504,1.8100586
307,1.57910157,1.1003418,-1.7644043
308,1.4584961,0.9597168,1.80517579
309,1.71850586,0.86987305,1.77319336
310,1.8515625,1.36816407,-1.77734375
311,-1.88305665,-1.875,1.59521485
312,-1.77148438,1.88916016,1.73413086
313,-1.64135743,0.97998047,-1.71166993
314,-1.90405274,1.27172852,1.82519532
315,1.70532227,1.41650391,1.09814454
316,1.37036133,0.95043946,0.92138672
317,0.01733399,-6.104e-05,-1.79516602
318,-1.875,-1.89941407,-1.96777344
319,-1.875,-0.97778321,1.73999024
320,1.26489258,-1.875,-1.875
321,-1.875,-1.875,1.73413086
322,1.65942383,0.14331055,-1.94995118
323,1.54931641,0.68432618,1.79272461
324,1.7109375,1.0041504,1.73901368
325,1.55566407,1.04638672,1.91748047
326,1.68212891,1.07592774,1.82543946
327,1.65893555,1.05029297,1.81640625
328,1.67919922,1.04882813,1.80688477
329,1.73706055,1.13427735,1.84545899
330,1.64355469,0.99169922,1.79345704
331,1.62817383,1.09033204,1.82495118
332,1.58544922,-1.82739258,1.77124024
333,1.60864258,0.88745118,1.73681641
334,1.07739258,0.11328125,1.66455079
335,1.83105469,1.40429688,1.92822266
336,-1.875,1.95947266,-1.05786133
337,-1.46582032,1.23681641,-1.5703125
338,1.92944336,-1.82104493,1.70458985
339,1.61083985,1.38720704,1.02514649
340,1.41723633,0.67504883,1.07763672
341,0.23657227,-1.93432618,0.87402344
342,0.09619141,-0.95141602,1.50292969
343,-1.875,-1.53295899,1.85888672
344,-1.875,-6.104e-05,-1.60131836
345,-1.875,0.72827149,0.42822266
346,1.80029297,1.50634766,-1.8972168
347,1.58007813,0.97363282,1.75268555
348,1.60449219,1.11791993,1.7878418
349,-1.77587891,1.07495118,1.79882813
350,1.5534668,1.1003418,1.81420899
351,1.56811524,1.1015625,-1.76000977
352,1.5769043,1.10009766,1.81420899
353,1.60083008,1.09716797,1.83032227
354,1.55029297,1.08251954,1.82641602
355,-1.77465821,1.10083008,1.82104493
356,1.60009766,1.08837891,1.79467774
357,1.56445313,1.05566407,1.80688477
358,1.60913086,1.12719727,1.83740235
359,1.64184571,-1.80688477,1.87841797
360,1.62597657,1.0678711,1.80151368
361,1.63452149,1.07666016,1.81079102
362,1.64331055,1.08496094,1.82543946
363,1.63500977,1.0769043,1.80664063
364,1.62353516,1.07519532,1.80615235
365,1.63842774,1.08666993,1.80053711
366,1.6291504,1.07275391,1.79956055
367,1.64428711,1.06811524,1.8100586
368,1.64404297,1.09594727,1.79394532
369,1.63671875,1.07714844,-1.7619629
370,-1.77172852,1.07275391,1.82788086
371,1.64794922,1.07006836,1.81640625
372,1.64575196,1.07055665,1.81713868
373,1.62280274,1.06591797,1.7956543
374,1.64184571,1.1213379,1.79541016
375,1.57714844,1.04516602,1.77587891
376,1.5900879,1.10205079,1.80004883
377,1.53686524,0.97680665,1.81542969
378,1.69580079,1.02734375,1.64404297
379,1.67382813,1.06030274,1.77563477
380,1.85644532,1.22021485,1.94628907
381,1.92700196,1.08740235,-1.98266602
382,1.90332032,-1.8046875,1.95483399
383,-1.76538086,0.96362305,1.73901368
384,1.68847657,0.91210938,1.8359375
385,1.69482422,1.04931641,1.83374024
