Label,Label,Axis1,Axis2,Axis3,date_hour,date_minute,date_second
CZ,3,16.534206,-3.606416,-2.6396074,17,41,58
CZ,3,11.2310505,0.5379472,-0.16879122,17,41,58
CZ,3,10.263793,-1.5569793,-1.5741876,17,41,57
CZ,3,9.421034,-4.0661025,-2.1320367,17,41,57
CZ,3,9.473706,-3.867384,-1.3730747,17,41,57
CZ,3,9.150489,-3.8506246,0.16160862,17,41,57
CZ,3,13.833548,-2.1675007,-2.7090392,17,41,57
CZ,3,17.312323,3.6623805,-1.0929531,17,41,57
CZ,3,19.718496,7.737312,-12.417527,17,41,57
CZ,3,12.174366,-3.5920508,-0.760159,17,41,57
CZ,3,5.4849663,-5.1291285,0.5255273,17,41,57
CZ,3,3.0165446,-7.7340198,-0.93972415,17,41,57
CZ,3,9.349208,0.45654434,-5.5222263,17,41,57
CZ,3,15.978752,-5.7109194,-2.1176715,17,41,57
CZ,3,12.037896,-2.6654947,-2.079364,17,41,57
CZ,3,10.223092,-0.74773914,-0.89902276,17,41,56
CZ,3,9.598205,-2.0142717,-0.8798691,17,41,56
CZ,3,9.708338,-3.4986768,-2.1751323,17,41,56
CZ,3,10.953323,-2.0382137,-3.834314,17,41,56
CZ,3,13.196691,0.65526307,-3.2381577,17,41,56
CZ,3,18.023401,19.519178,-20.13344,17,41,56
CZ,3,14.458434,19.519178,-8.146272,17,41,56
CZ,3,19.718496,-1.863437,2.4265234,17,41,56
CZ,3,6.638972,-1.7820343,0.25737667,17,41,56
CZ,3,-1.132607,-4.353407,1.79206,17,41,56
CZ,3,6.619818,-1.8825908,-4.83509,17,41,56
CZ,3,16.682648,-11.275044,-1.899799,17,41,56
CZ,3,14.084939,-2.4715643,-2.31639,17,41,56
CZ,3,11.147253,-0.85308397,-0.49440265,17,41,55
CZ,3,10.012402,-0.8147768,-1.6867151,17,41,55
CZ,3,9.174431,-2.5936687,-1.9979613,17,41,55
CZ,3,9.052327,-5.397279,-1.1432313,17,41,55
CZ,3,10.484059,-2.9097033,-1.590947,17,41,55
CZ,3,13.876643,-1.3606547,3.6116533,17,41,55
CZ,3,12.282105,7.809138,-6.5469446,17,41,55
CZ,3,19.718496,3.4109893,-7.3466077,17,41,55
CZ,3,11.47047,-4.439598,-0.051475335,17,41,55
CZ,3,4.1202717,-3.0342019,1.2366052,17,41,55
CZ,3,3.7731123,-3.9894881,-0.91817635,17,41,55
CZ,3,9.500043,-1.2146084,-2.1703439,17,41,55
CZ,3,16.560543,-4.7604213,-4.128801,17,41,55
CZ,3,11.638064,-0.62084645,-1.270124,17,41,55
CZ,3,10.345196,-1.7556981,-1.5191209,17,41,55
CZ,3,9.971701,-1.6096517,-1.7369933,17,41,55
CZ,3,8.59264,-4.50903,-0.8415619,17,41,55
CZ,3,8.23351,-3.5776856,-0.010773907,17,41,55
CZ,3,11.958888,2.611326,-3.4608185,17,41,55
CZ,3,9.816077,-0.7764695,-1.1288661,17,41,55
CZ,3,10.120141,-2.040608,-1.4449008,17,41,54
CZ,3,11.913398,19.519178,-12.518084,17,41,54
CZ,3,10.304495,-0.33593643,-1.1480197,17,41,54
CZ,3,12.71785,-4.619163,-2.3930047,17,41,54
CZ,3,19.718496,2.2402246,-9.321824,17,41,54
CZ,3,4.7858596,-6.4842463,-0.005985504,17,41,54
CZ,3,10.187179,-3.7357028,0.47046062,17,41,54
CZ,3,5.3221607,-4.9088616,1.2294226,17,41,54
CZ,3,4.668544,-5.9647045,1.6340426,17,41,54
CZ,3,19.718496,2.920178,-8.038532,17,41,54
CZ,3,3.164985,-5.9551277,0.89902276,17,41,54
CZ,3,9.399487,19.519178,-15.067908,17,41,54
CZ,3,11.125706,-3.987094,-1.1791444,17,41,54
CZ,3,15.801581,1.2801497,0.39863458,17,41,54
CZ,3,9.227104,-3.807529,-1.8375498,17,41,54
CZ,3,17.206978,-4.9064674,-4.8614264,17,41,53
CZ,3,9.29893,-3.1778538,-1.3515269,17,41,53
CZ,3,11.238234,-1.3199533,-1.3275849,17,41,53
CZ,3,10.634894,-0.3000234,-1.4209588,17,41,53
CZ,3,19.718496,19.519178,11.845313,17,41,53
CZ,3,9.7657995,-3.6926072,0.49919105,17,41,53
CZ,3,15.3395,-3.2185552,-3.0921116,17,41,53
CZ,3,9.152884,-1.6790836,-0.5614403,17,41,52
CZ,3,6.2822356,-4.037372,0.6739678,17,41,52
CZ,3,-1.477372,-6.544101,1.483208,17,41,52
CZ,3,12.938116,16.411505,-16.521189,17,41,52
CZ,3,19.718496,4.6128783,-4.892551,17,41,52
CZ,3,10.249428,-2.7564743,2.0530279,17,41,52
CZ,3,4.376451,-5.6295166,2.3235726,17,41,52
CZ,3,4.414758,-9.778668,-1.899799,17,41,52
CZ,3,11.032331,-4.0541315,-0.92057055,17,41,52
CZ,3,13.895797,-1.4731822,-1.5813702,17,41,52
CZ,3,10.5702505,-0.103698865,-1.8231846,17,41,51
CZ,3,10.31886,-0.9033622,-1.0809821,17,41,51
CZ,3,10.6420765,-0.1587655,-1.6986861,17,41,51
CZ,3,11.032331,-5.569661,-2.4672248,17,41,51
CZ,3,17.432034,-2.7277439,-4.667496,17,41,51
CZ,3,19.718496,12.868086,4.260482,17,41,51
CZ,3,5.9135284,19.519178,-10.605117,17,41,51
CZ,3,19.718496,0.3847183,-4.080917,17,41,51
CZ,3,8.140136,-2.4859295,0.039504327,17,41,51
CZ,3,3.2415996,-5.742044,-0.089782566,17,41,51
CZ,3,4.314202,-8.799439,-0.90859956,17,41,51
CZ,3,13.223026,-1.3295301,-1.6196774,17,41,51
CZ,3,11.74341,-5.8354177,-2.172738,17,41,51
CZ,3,11.087399,-0.64718264,-1.7465701,17,41,50
CZ,3,10.522367,-0.6974609,-1.4760253,17,41,50
CZ,3,9.624541,-2.3757963,-1.7298107,17,41,50
CZ,3,9.157672,-5.0501194,-0.58298814,17,41,50
CZ,3,11.978042,-0.6902783,-2.7257986,17,41,50
CZ,3,19.718496,1.7494133,-5.6227827,17,41,50
CZ,3,16.143953,1.7063177,-4.959589,17,41,50
CZ,3,19.718496,5.4915504,-8.112753,17,41,50
CZ,3,11.511172,-3.2185552,-0.3866636,17,41,50
CZ,3,4.9079638,-5.2272906,-0.7338228,17,41,50
CZ,3,0.7659949,-8.974216,1.9333179,17,41,50
CZ,3,10.989236,-0.0175076,-11.672931,17,41,50
CZ,3,18.542942,-5.069273,-3.7720647,17,41,50
CZ,3,11.829601,-0.6016928,-1.543063,17,41,49
CZ,3,10.206332,-0.8937854,-1.6077064,17,41,49
CZ,3,9.717916,-1.173907,-1.3275849,17,41,49
CZ,3,9.28217,-0.75731593,-0.34596214,17,41,49
CZ,3,8.171261,-4.1139865,1.2725182,17,41,49
CZ,3,6.631789,-3.4914942,9.635465,17,41,49
CZ,3,19.718496,-11.926267,11.761516,17,41,49
CZ,3,19.718496,10.284742,-6.353014,17,41,49
CZ,3,11.803265,-3.6279638,-0.008379706,17,41,48
CZ,3,3.342156,-2.811541,0.32202014,17,41,48
CZ,3,2.441936,-1.2936171,-2.9460652,17,41,48
CZ,3,19.524565,5.754913,-9.120711,17,41,48
CZ,3,18.904467,-7.7819037,-2.0626047,17,41,48
CZ,3,11.508778,-0.35030162,-1.7776948,17,41,48
CZ,3,9.655665,-0.19707273,-2.0649989,17,41,48
CZ,3,9.421034,-1.5210663,-1.6651673,17,41,48
CZ,3,10.488848,-1.4061446,-1.1839328,17,41,48
CZ,3,8.583063,-4.118775,-0.6667852,17,41,48
CZ,3,8.173655,-6.335806,7.9188223,17,41,48
CZ,3,14.7337675,7.880964,-8.01459,17,41,47
CZ,3,19.718496,6.899341,-7.0928226,17,41,47
CZ,3,11.149648,-2.9120975,2.349909,17,41,47
CZ,3,4.556016,-2.2943933,2.409764,17,41,47
CZ,3,2.6358664,-4.5066357,2.5318682,17,41,47
CZ,3,9.310901,3.7102644,-12.211626,17,41,47
CZ,3,14.654759,-2.0669444,-1.1097125,17,41,47
CZ,3,10.04592,0.6935703,-1.9979613,17,41,47
CZ,3,9.998036,-0.63042325,-1.5526398,17,41,47
CZ,3,10.780941,-1.884985,-1.1575965,17,41,47
CZ,3,11.616517,-0.97758245,-1.1887212,17,41,47
CZ,3,7.2662525,4.064606,3.1423898,17,41,47
CZ,3,-1.0679636,5.412542,-8.725668,17,41,46
CZ,3,14.259716,19.519178,-8.36175,17,41,46
CZ,3,19.718496,-4.6670475,-0.9947908,17,41,46
CZ,3,7.6828437,-1.932869,0.5710171,17,41,46
CZ,3,0.50023854,-0.1755249,2.098518,17,41,46
CZ,3,5.4538417,-5.7588034,-7.9595237,17,41,46
CZ,3,14.331542,-8.066813,-1.6651673,17,41,46
CZ,3,12.4904,-0.4197335,-1.5310919,17,41,46
CZ,3,9.459341,0.22191256,-2.019509,17,41,46
CZ,3,10.038738,-1.2074258,-1.7322049,17,41,46
CZ,3,10.184784,-1.7604865,-1.5047557,17,41,46
CZ,3,11.029938,-2.502689,-0.46567222,17,41,46
CZ,3,12.124087,2.731036,-0.008379706,17,41,46
CZ,3,14.515895,19.519178,-20.13344,17,41,46
CZ,3,15.4424515,19.519178,-18.03193,17,41,46
CZ,3,12.284499,-7.252785,-1.5693992,17,41,46
CZ,3,19.718496,-5.105186,-8.694544,17,41,46
CZ,3,7.989301,-5.2153196,-6.4104753,17,41,46
