Label,Axis1,Axis2,Axis3,time
3,11.841572,-1.9472342,-1.3682863,63667
3,16.30197,2.4365492,-4.337096,63667
3,19.718496,19.519178,1.9788077,63667
3,10.414628,19.519178,-11.177331,63667
3,19.718496,-2.7875988,-1.3467385,63667
3,7.5367975,-2.9527988,1.2988545,63667
3,-1.7120038,-3.0796916,0.93493575,63667
3,4.278289,-0.52747256,-4.796783,63667
3,11.554268,-0.53465515,-4.1264067,63667
3,15.061773,-3.3885436,-5.804742,63667
3,19.718496,2.0750246,19.092562,63668
3,9.377938,3.8203976,1.1959038,63668
3,5.2096334,1.9624972,-1.8351556,63668
3,11.2310505,0.6241385,-3.2692823,63668
3,15.437663,1.6991351,-8.340201,63668
3,14.513501,3.0135517,-11.009736,63668
3,3.0141504,2.920178,-2.8502972,63668
3,-2.794183,0.09501988,-3.2094274,63668
3,-6.9888244,1.852364,-7.0593038,63668
3,1.6566379,7.253683,-9.5492735,63668
3,14.966005,15.039627,-17.35437,63668
3,9.660454,-11.423485,-1.009156,63668
3,19.718496,0.5403414,-4.2556934,63668
3,19.40246,-6.6997247,-1.2653356,63668
3,10.941352,-1.0637738,-5.7400985,63669
3,13.797635,-0.25692776,-3.21661,63669
3,11.623699,-1.3247417,-0.25737667,63669
3,13.246968,-2.79957,-2.2493525,63669
3,9.787347,-2.2153847,-1.0307038,63669
3,9.734674,-0.817171,-1.021127,63669
3,11.149648,-2.4356513,-0.9516952,63669
3,18.95235,2.6663926,4.361038,63669
3,11.154436,-2.7038019,-1.9357121,63669
3,11.887062,-3.6231754,-2.0266917,63669
3,8.508843,6.566547,-0.59735334,63669
3,8.702773,-1.7293618,1.5741876,63670
3,4.2854714,-4.0301895,6.1207767,63670
3,11.415404,19.519178,-15.913061,63670
3,19.718496,-2.4619875,3.762488,63670
3,5.2120275,-3.93921,-0.50637364,63670
3,1.0341455,-7.5999446,0.7529764,63670
3,9.966912,-1.5497967,-1.4951789,63671
3,9.435399,-0.865055,-1.2605472,63671
3,7.2662525,-4.4108677,-0.12330139,63671
3,1.6781857,-10.999711,-1.0857705,63671
3,17.072903,-19.706823,18.668787,63671
3,19.718496,16.998083,-13.1477585,63671
3,14.796017,-3.4100914,-0.80325466,63671
3,7.9581766,-5.825841,0.7170634,63671
3,4.800225,-7.7052894,4.143166,63671
3,13.929316,-1.3007997,-4.770447,63671
3,16.531813,-6.3669305,0.9540894,63671
3,12.555044,-0.6950667,-1.7417817,63671
3,10.345196,-0.0175076,-1.4089876,63671
3,10.747422,-0.07496844,-0.8678981,63671
3,9.626935,-1.9615993,-1.4927847,63671
3,9.533562,-1.2577041,-0.5590461,63671
3,10.196755,-1.1116577,-1.4927847,63672
3,10.000431,-1.6455648,-0.37229836,63672
3,12.466458,-3.0342019,-1.8854338,63672
3,13.230209,6.142773,-9.494206,63672
3,15.648353,10.497827,-10.183737,63672
3,19.718496,3.6504095,-11.052833,63672
3,11.21908,-3.9799113,-0.12569559,63672
3,5.3293433,-5.730073,0.31244332,63672
