Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.123291,0.166260,0.858398,-0.076336,0.122137,9.251908,0,1445409216.589981
0.121338,0.167480,0.861084,0.946565,31.251909,2.778626,0,1445409216.620039
0.122314,0.166016,0.859863,0.045802,1.679389,4.946565,0,1445409216.649915
0.008057,0.168213,0.866943,-0.702290,0.488550,31.160305,0,1445409216.679979
0.119873,0.167969,0.864502,-0.625954,3.633588,3.832061,0,1445409216.710477
0.124268,0.165527,0.867432,1.908397,1.770992,-4.809160,0,1445409216.739948
0.124268,0.164307,0.859863,-0.061069,3.816794,0.381679,0,1445409216.770076
0.119141,0.169189,0.857666,-1.465649,-0.977099,5.664122,0,1445409216.799881
0.123291,0.167480,0.862793,-2.580153,0.015267,-0.656489,0,1445409216.829928
0.122803,0.166748,0.854980,-1.740458,4.122138,0.885496,0,1445409216.859974
0.121338,0.169434,0.863281,-1.236641,1.664122,3.389313,0,1445409216.889854
0.116699,0.170410,0.862061,-0.519084,2.748092,-7.923664,0,1445409216.920246
0.120605,0.169189,0.857422,1.297710,3.816794,-0.748092,0,1445409216.949998
0.117188,0.171143,0.859131,-0.412214,2.748092,-2.732824,0,1445409216.980023
0.121582,0.162842,0.872070,-1.664122,-1.160305,30.824427,0,1445409217.010064
0.116943,0.168213,0.868896,-10.946565,2.259542,-8.549619,0,1445409217.039993
0.009521,0.159180,0.879150,-13.847328,-1.664122,11.160305,0,1445409217.070118
0.130859,0.138184,0.765625,30.290077,0.305344,6.259542,0,1445409217.129846
0.120117,0.058105,0.895752,30.549618,27.114504,0.564885,0,1445409217.159928
0.081055,-0.115234,0.801514,-10.854961,-0.977099,22.809160,0,1445409217.190041
0.161621,-0.191895,0.980957,4.412214,0.595420,63.175571,0,1445409217.219908
0.434570,-0.090332,0.851074,0.793893,28.870230,81.343513,0,1445409217.250012
0.494141,-0.010742,0.033691,8.488549,15.175572,58.549618,0,1445409217.279948
0.624268,0.030518,0.613770,0.015267,-41.694656,20.061069,0,1445409217.310095
0.734863,-0.123047,0.923828,-8.274809,-49.816795,25.328245,0,1445409217.339985
0.659668,-0.241943,0.611572,-51.038166,-10.946565,33.572517,0,1445409217.370046
0.721924,0.121826,0.971436,-11.175572,-3.038168,65.007637,0,1445409217.400018
0.443848,-0.368164,-2.410645,-34.519085,-34.335876,66.671753,0,1445409217.429898
0.160889,0.320557,2.108643,0.656489,0.137405,48.793892,0,1445409217.460150
0.394775,-0.583252,-0.645752,-41.129772,36.106869,38.396946,0,1445409217.490173
0.099609,0.122803,0.564697,-80.885498,15.587787,23.923664,0,1445409217.520004
-0.010742,-0.005615,1.088379,15.847328,31.114504,33.160305,0,1445409217.549958
-0.359131,0.147705,2.321289,43.847328,-19.175573,24.748091,0,1445409217.580077
-0.743652,0.503662,2.224854,58.274811,61.282444,15.312977,0,1445409217.639931
-0.072266,0.158936,0.884766,46.045803,8.717557,5.603054,0,1445409217.670100
0.262695,0.137695,0.910889,46.335876,-7.236641,-0.305344,0,1445409217.700007
0.121826,0.011963,0.830566,23.694656,17.526718,-1.160305,0,1445409217.729925
0.009521,0.175781,0.855957,12.748092,3.038168,3.572519,0,1445409217.760033
0.116211,0.179932,0.863525,5.312977,12.335877,-13.450381,0,1445409217.790005
0.122070,0.175293,0.860352,5.114504,9.496183,11.221375,0,1445409217.820133
0.121094,0.183350,0.863525,0.290076,3.038168,-6.320611,0,1445409217.850021
0.119629,0.182373,0.860840,0.045802,7.541985,-1.343511,0,1445409217.880130
0.119873,0.178955,0.860596,-0.259542,6.167939,-1.786260,0,1445409217.910384
0.117432,0.179688,0.866943,0.152672,0.305344,-7.129771,0,1445409217.940021
0.116211,0.181152,0.860352,-2.534351,-4.885496,0.274809,0,1445409217.970029
0.112793,0.174072,0.860840,-0.549618,6.946565,-6.748092,0,1445409217.999958
